5,14,15,17,28,30,34
2,3,13,18,19,23,37
13,17,18,20,21,26,39
17,20,23,26,35,36,38
3,4,8,11,29,32,37
6,7,16,24,34,38,39
2,3,7,8,20,23,26
5,9,12,28,32,36,38
1,5,19,24,26,30,34
2,12,16,20,26,28,36
14,15,16,20,24,27,39
15,17,28,29,31,32,35
8,9,10,22,31,34,36
16,20,26,28,30,35,36
4,8,16,24,32,35,36
7,11,25,27,31,36,38
5,9,18,21,22,28,35
2,7,12,13,19,24,35
10,17,19,21,30,35,38
5,8,24,25,28,29,33
2,9,18,21,25,28,34
12,17,19,25,27,29,33
4,5,8,14,26,31,36
1,7,9,24,28,29,30
2,6,11,19,20,27,32
2,4,14,15,30,35,39
13,16,17,25,32,33,36
8,26,30,31,34,36,39
12,13,14,15,18,33,36
5,8,10,11,17,25,26
1,7,19,21,35,38,39
3,4,5,8,11,15,16
5,9,22,24,25,32,35
3,7,9,14,15,21,35
2,3,12,16,18,23,35
5,15,18,27,35,36,37
3,5,14,17,27,28,30
3,8,12,24,25,33,35
9,11,14,16,17,19,34
10,20,22,25,30,33,39
2,10,14,29,31,32,39
5,9,14,24,27,29,37
4,17,20,23,31,34,38
3,5,7,28,30,37,38
12,20,26,28,29,36,39
1,2,10,13,22,29,39
6,7,17,18,24,30,35
1,2,7,18,21,25,27
1,11,17,22,26,30,31
16,19,21,27,28,36,39
3,14,23,27,32,35,38
2,9,18,23,31,38,39
1,9,11,17,29,32,39
1,5,10,22,23,28,38
8,9,17,22,36,37,39
1,6,8,14,30,36,38
1,3,14,21,23,26,34
1,2,6,10,12,14,28
12,14,15,18,20,27,37
1,4,9,13,19,36,37
3,6,16,18,19,30,31
3,12,17,24,32,35,39
1,3,15,22,23,33,39
4,12,14,16,26,36,38
6,11,19,21,22,29,30
13,19,22,27,34,36,39
4,8,16,24,36,37,39
1,8,12,14,21,24,27
3,7,18,21,23,28,31
4,11,19,22,26,29,34
2,11,15,18,28,32,33
1,9,15,27,31,37,38
8,9,10,15,24,27,39
4,5,11,29,31,38,39
2,4,23,26,30,31,36
1,12,14,17,23,28,31
10,12,13,15,18,31,37
2,7,14,15,30,34,37
6,23,31,32,33,35,36
2,4,11,17,28,32,33
5,9,11,25,29,36,38
1,5,25,26,32,35,39
4,8,15,16,24,25,38
10,14,16,27,33,34,37
14,16,17,20,21,31,34
9,25,28,30,32,35,38
1,4,21,23,24,29,39
10,11,16,17,30,34,39
4,9,10,11,19,29,31
4,5,8,23,30,33,36
5,7,9,34,35,38,39
3,4,11,25,26,30,37
5,6,23,30,32,33,39
6,9,15,23,31,32,33
6,9,12,18,23,28,31
3,5,6,10,26,28,34
1,12,20,23,30,38,39
7,8,10,20,22,28,33
2,7,8,16,19,34,39
5,12,15,18,33,35,38
4,11,25,27,28,35,37
6,7,9,15,27,29,35
3,6,8,14,19,24,39
7,12,17,19,33,36,38
1,8,9,15,21,22,31
14,15,17,25,28,31,38
2,5,7,11,24,26,33
2,3,6,8,9,13,27
5,6,10,21,30,31,32
2,9,18,19,21,25,34
4,17,18,24,25,26,36
8,16,23,27,32,35,37
8,9,14,20,24,31,32
10,16,17,24,26,28,34
2,12,13,15,18,24,30
11,15,16,23,25,28,35
8,13,16,26,31,36,37
2,5,23,28,29,34,38
16,18,20,23,24,33,36
1,7,8,11,17,18,21
8,19,25,26,27,35,36
2,6,7,12,22,26,35
7,8,10,11,22,31,34
6,9,11,14,32,37,39
3,4,5,9,14,21,26
16,19,21,23,25,34,37
1,2,11,15,16,26,37
7,9,13,14,16,28,30
6,11,18,21,26,33,35
7,10,14,16,20,21,28
6,15,16,23,28,32,39
4,13,17,19,26,30,38
18,21,23,26,31,35,39
4,9,10,11,12,26,39
12,14,16,20,32,34,38
1,4,14,15,18,35,37
1,3,8,15,16,17,39
10,17,19,21,24,29,32
2,11,24,26,28,32,38
6,14,15,21,25,32,38
9,11,16,20,24,37,38
15,16,18,19,28,30,37
4,7,17,27,30,36,38
3,8,12,18,25,31,33
1,5,19,25,33,35,38
1,3,7,9,21,23,38
7,10,15,16,18,19,28
2,3,33,34,36,37,39
6,9,14,16,30,31,33
2,9,11,12,19,27,39
3,14,16,25,30,37,39
7,9,10,16,21,37,38
3,4,17,27,32,33,35
1,4,14,19,29,30,33
3,11,15,20,27,31,34
9,13,24,26,32,35,37
4,10,12,19,20,27,38
12,15,22,24,29,30,36
3,9,15,17,24,32,37
3,18,21,22,23,35,38
7,10,11,18,26,29,34
2,3,15,18,30,31,39
2,17,18,22,27,34,38
3,7,26,31,33,35,38
2,5,7,19,21,27,28
4,5,11,12,14,16,18
1,13,18,22,32,33,35
1,2,3,6,13,33,34
4,6,11,21,22,29,30
4,8,10,25,29,31,38
5,8,11,22,25,28,33
2,3,9,11,19,37,38
1,4,10,23,29,33,38
8,12,26,27,30,34,36
9,14,17,19,22,28,39
4,8,10,19,21,32,38
